epoch,generator_loss,discriminator_loss
1,0.001431610668078065,0.009144779294729233
2,0.001392208389006555,9.8721357062459e-06
3,0.0013556325575336814,8.855597116053104e-06
4,0.0013216235674917698,7.426016964018345e-06
5,0.0012880737194791436,7.98259861767292e-06
6,0.001256938325241208,7.3661794885993e-06
7,0.0012285667471587658,8.595408871769905e-06
8,0.001199765712954104,6.901449523866177e-06
9,0.0011732627172023058,7.061637006700039e-06
10,0.001147820963524282,5.868962034583092e-06
11,0.0011232972610741854,5.237641744315624e-06
12,0.0010999235091730952,5.708308890461922e-06
13,0.001077981200069189,3.162538632750511e-06
14,0.001056167995557189,4.181172698736191e-06
15,0.0010360629530623555,2.6266789063811302e-06
16,0.0010154986521229148,2.942862920463085e-06
17,0.0009972720872610807,3.2633543014526367e-06
18,0.0009794854559004307,3.144843503832817e-06
19,0.0009620350319892168,2.2015301510691643e-06
20,0.0009456175612285733,1.374341081827879e-06
21,0.0009293057955801487,8.788774721324444e-07
22,0.0009147609816864133,1.7093261703848839e-06
23,0.0008994294330477715,7.642665877938271e-07
24,0.000885092536918819,4.523899406194687e-07
25,0.0008714469149708748,-4.6996865421533585e-07
26,0.0008585459436289966,7.060589268803596e-07
27,0.0008452943293377757,-8.739880286157131e-07
28,0.0008332565193995833,-7.189810276031494e-07
29,0.0008217981667257845,-1.9012950360774994e-06
30,0.0008101204875856638,-2.196873538196087e-06
31,0.0007995361811481416,-4.128669388592243e-07
32,0.0007889725966379046,-2.1984451450407505e-06
33,0.0007790702511556447,-2.389424480497837e-06
34,0.0007695863605476916,-3.69601184502244e-06
35,0.0007604915299452841,-2.535642124712467e-06
36,0.0007512581069022417,-4.444445949047804e-06
37,0.0007421419722959399,-4.05928585678339e-06
38,0.0007339587318710983,-3.7206336855888367e-06
39,0.0007267402252182364,-3.4123077057302e-06
40,0.000718261522706598,-4.411616828292608e-06
41,0.0007111876620911062,-6.815651431679726e-06
42,0.0007042729994282126,-5.5524869821965694e-06
43,0.0006967769004404545,-6.461050361394882e-06
44,0.0006901508895680308,-7.348426152020693e-06
45,0.0006835171952843666,-6.245507393032312e-06
46,0.0006773285567760468,-6.7177461460232735e-06
47,0.0006713844486512244,-6.840855348855257e-06
48,0.000665444356855005,-7.174210622906685e-06
49,0.0006596269086003304,-7.247086614370346e-06
50,0.0006552013219334185,-7.947790436446667e-06
51,0.0006490391679108143,-8.990464266389608e-06
52,0.0006440267898142338,-8.947972673922777e-06
53,0.0006392334471456707,-6.667396519333124e-06
54,0.0006348702008835971,-1.0775867849588394e-05
55,0.0006311125471256673,-9.589013643562794e-06
56,0.0006265068659558892,-9.330804459750652e-06
57,0.0006218721391633153,-9.614333976060152e-06
58,0.0006177695468068123,-9.23709012567997e-06
59,0.0006142642232589424,-9.622948709875345e-06
60,0.0006100941682234406,-1.2008182238787413e-05
61,0.0006063637556508183,-1.1038617230951786e-05
62,0.0006029744981788099,-1.3454118743538857e-05
63,0.000599244493059814,-1.3155164197087288e-05
64,0.0005961678107269108,-1.3562326785176992e-05
65,0.0005933658103458583,-8.561706636101007e-06
66,0.00059020787011832,-1.3367156498134136e-05
67,0.0005868773441761732,-1.4406105037778616e-05
68,0.0005838124779984355,-1.4543416909873486e-05
69,0.000580735388211906,-1.2687465641647577e-05
70,0.0005778594641014934,-1.3482756912708282e-05
71,0.00057521479902789,-1.6734469681978226e-05
72,0.0005727263633161783,-1.4656921848654747e-05
73,0.0005710716359317303,-1.4078919775784016e-05
74,0.0005682882620021701,-1.5643076039850712e-05
75,0.0005657514557242393,-1.5372235793620348e-05
76,0.0005635750130750239,-1.5493191312998533e-05
77,0.0005611896049231291,-1.727172639220953e-05
78,0.0005588885396718979,-1.617701491340995e-05
79,0.0005568530177697539,-1.7415499314665794e-05
80,0.0005548786139115691,-1.782720210030675e-05
81,0.000553453341126442,-1.7314334399998188e-05
82,0.000550613272935152,-1.3358774594962597e-05
83,0.0005495849181897938,-1.7984304577112198e-05
